PAamp,PAf20,PAf40,PAf80,PAf90,PAf95,PAr10,PAr100,PAr20,PAr30,PAr40,PAr50,PAr60,PAr70,PAr80,PAr90,PAr95,PBamp,PBf20,PBf40,PBf80,PBf90,PBf95,PBr10,PBr100,PBr20,PBr30,PBr40,PBr50,PBr60,PBr70,PBr80,PBr90,PBr95,PCamp,PCf20,PCf40,PCf80,PCf90,PCf95,PCr10,PCr100,PCr20,PCr30,PCr40,PCr50,PCr60,PCr70,PCr80,PCr90,PCr95,PDamp,PDf20,PDf40,PDf80,PDf90,PDf95,PDr10,PDr100,PDr20,PDr30,PDr40,PDr50,PDr60,PDr70,PDr80,PDr90,PDr95,PFamp,PFf20,PFf40,PFf80,PFf90,PFf95,PFr10,PFr100,PFr20,PFr30,PFr40,PFr50,PFr60,PFr70,PFr80,PFr90,PFr95,Row,y
3.705e-06,-2.23e-05,0.0002814,-3.38e-06,0.0003865,0.0003194,53586,1.814e-05,7.475e-05,0.0005061,5.36e-05,0.0001672,3.525e-05,1.246e-05,4.669e-05,0.0001165,1.063e-07,0,0.0006857,-4.87e-06,1.937e-05,5.713e-05,4.634e-05,4.524e-07,2.235e-07,6.318e-05,6.547e-05,0.0002234,-9.04e-06,0.000221,0.0002086,-1.22e-05,9.115e-05,0.0001402,0.0004475,0.0009732,3.876e-05,0.0005642,0.0002181,-7.18e-06,0.000149,3.588e-05,2.729e-05,4.219e-05,2.078e-07,0.000305,2.703e-05,2.241e-05,-2.69e-05,9.683e-05,8.526e-05,0.0006664,9.842e-06,-1.38e-05,1.646e-05,9.626e-05,0.0001684,6.168e-06,0.0009066,0.0002455,1.797e-07,1.344e-05,0.0008079,1.985e-05,3.307e-07,3.8e-05,0.000181,7.877e-05,2.961e-05,7.031e-05,2.854e-05,4.987e-05,0.000129,0.0002211,1.106e-05,0.0001365,0.0001454,0.0008393,0.0001659,-1.81e-05,7.626e-05,2.243e-06,0.0006025,5.691e-06,-7.04e-06,0.0002944,-24.077
3.866e-05,9.858e-06,0.0002101,3.164e-05,0.00038,0.0003171,30448,6.365e-05,0.000118,0.0005231,9.849e-05,0.0001879,5.83e-05,1.337e-05,4.488e-05,0.0001291,4.077e-07,0,0.0006673,3.743e-05,2.064e-05,7.832e-05,6.897e-05,3.781e-07,3.346e-07,6.915e-05,5.793e-05,0.0002276,2.563e-05,0.0002431,0.0002378,2.703e-05,0.0001343,0.00017,0.0003506,0.0009379,8.424e-05,0.0004904,0.0001841,-5.77e-06,0.0001553,3.527e-05,7.296e-05,7.276e-05,2.423e-07,0.0003245,2.786e-05,2.217e-05,3.733e-06,0.0001133,9.972e-05,0.0005496,5.476e-05,2.025e-05,1.518e-05,0.0001004,0.0001566,6.644e-06,0.0008493,0.0002717,2.289e-07,4.789e-05,0.0008094,4.519e-05,4.3e-07,4.239e-05,0.0001324,6.772e-05,3.113e-05,8.813e-05,6.199e-05,5.824e-05,9.647e-05,0.0001571,9.422e-06,0.0001571,0.0001394,0.0007449,0.0001758,1.511e-05,0.0001092,4.636e-05,0.0005909,4.485e-06,-4.72e-06,0.0002908,-41.01
4.537e-06,-1.54e-05,0.0002489,5.34e-07,0.0002747,0.0002122,26709,-2.25e-05,-8.92e-06,0.0003016,-1.34e-05,4.248e-05,-1.56e-05,-7.81e-06,4.718e-05,4.73e-05,-1.68e-05,0,0.0005154,-3.11e-05,-2.36e-06,-5.65e-06,-1.09e-05,4.063e-07,2.166e-07,8.478e-05,6.131e-05,0.0001248,-3.28e-06,5.055e-05,1.726e-05,-3.51e-05,-5.62e-06,3.252e-06,0.0004726,0.0007407,-1.68e-05,0.0004753,0.0002492,-2.17e-05,6.123e-05,3.258e-05,-1.98e-05,1.835e-05,9.091e-07,4.01e-05,5.777e-06,3.157e-05,-2.09e-05,3.267e-05,1.373e-05,0.0006841,-2.53e-05,-7.08e-06,2.317e-05,0.00012,0.0002041,-1.24e-05,0.0002906,2.482e-05,2.899e-07,8.982e-06,0.0004957,-2.09e-05,2.205e-07,5.458e-05,0.0001751,7.458e-05,4.145e-05,1.158e-06,1.452e-05,7.159e-05,0.0001272,0.0001958,1.477e-05,3.781e-05,0.0001744,0.0006889,7.952e-05,-1.1e-05,2.725e-05,-2.81e-05,0.0001163,7.171e-06,-8.52e-06,0.0001755,-3.969
1.156e-05,-1.02e-05,0.0002547,6.925e-06,0.0002488,0.0001996,166756,-2.1e-05,-7.46e-06,0.0003966,-1.18e-05,6.212e-05,-1.56e-05,1.36e-05,5.685e-05,4.254e-05,2.032e-08,0,0.0004976,-3.02e-05,2.179e-05,-3.96e-06,-9.82e-06,4.533e-07,2.946e-07,9.209e-05,7.337e-05,0.0001169,2.666e-06,0.00015,1.629e-05,-3.46e-05,-4.17e-06,4.942e-06,0.0004877,0.0007027,-1.52e-05,0.0004743,0.0002569,-7.11e-06,5.846e-05,4.291e-05,-1.82e-05,2.797e-05,1.173e-06,3.277e-05,3.172e-05,3.325e-05,-1.6e-05,2.29e-05,1.005e-05,0.0007082,-2.38e-05,-1.43e-06,2.389e-05,0.0001289,0.0002057,6.636e-06,0.0002739,2.225e-05,4.3e-07,1.679e-05,0.0006025,-2.18e-05,2.868e-07,5.622e-05,0.0001762,8.744e-05,4.325e-05,2.39e-06,2.338e-05,7.659e-05,0.0001329,0.0002029,1.626e-05,5.306e-05,0.0001856,0.0006903,7.058e-05,-5.64e-06,3.934e-05,-2.68e-05,0.0001089,8.096e-06,-8.27e-06,0.0001705,0.0
3.648e-06,-2.36e-05,0.0003186,-3.57e-06,0.0003898,0.00032,27231,-4.34e-06,3.503e-05,0.0005437,1.959e-05,0.000164,2.464e-05,1.878e-05,6.272e-05,0.0001105,2.635e-06,0,0.0006873,-2e-05,2.697e-05,5.103e-05,3.749e-05,3.082e-07,1.888e-07,7.559e-05,8.104e-05,0.000224,-9.44e-06,0.0002253,0.0001564,-2.61e-05,4.835e-05,8.088e-05,0.000479,0.001037,9.471e-06,0.000619,0.0002398,-6.76e-06,0.0001385,4.757e-05,1.847e-06,4.124e-05,2.008e-07,0.0002565,3.646e-05,2.682e-05,-2.89e-05,9.134e-05,7.616e-05,0.0006977,-9.77e-06,-1.44e-05,1.927e-05,0.0001192,0.0001895,1.084e-05,0.0008606,0.0001924,1.848e-07,1.333e-05,0.0008633,1.232e-05,1.751e-07,4.681e-05,0.0002137,9.732e-05,3.62e-05,6.189e-05,2.814e-05,6.353e-05,0.0001528,0.0002548,1.288e-05,0.0001327,0.0001587,0.0009432,0.0001571,-1.9e-05,7.928e-05,-1.48e-05,0.0005644,6.484e-06,-7.78e-06,0.0002796,-17.992
-8.03e-06,-2.86e-05,0.0002808,-1.31e-05,0.0003798,0.0003157,36294,-9.71e-06,2.292e-05,0.0003928,9.286e-06,0.0001056,1.992e-05,1.145e-05,5.013e-05,0.0001041,-3.43e-06,0,0.0006863,-2.34e-05,1.858e-05,4.372e-05,3.057e-05,4.921e-07,2.28e-07,6.885e-05,6.933e-05,0.0002098,-1.74e-05,0.0001465,0.0001301,-2.89e-05,3.533e-05,6.661e-05,0.0004749,0.0009476,1.354e-06,0.0005589,0.0002375,-1.19e-05,0.0001289,3.694e-05,-4.65e-06,1.855e-05,2.823e-07,0.0002191,2.673e-05,2.515e-05,-3.33e-05,8.43e-05,7.019e-05,0.0007128,-1.43e-05,-2.11e-05,1.801e-05,0.0001226,0.0001916,4.111e-06,0.00077,0.000164,2.039e-07,-1.18e-06,0.0006533,8.429e-06,2.163e-07,4.329e-05,0.00019,8.654e-05,3.355e-05,5.67e-05,9.464e-06,5.746e-05,0.0001314,0.0002259,1.17e-05,8.424e-05,0.0001615,0.0008261,0.0001524,-2.48e-05,4.901e-05,-1.88e-05,0.0004924,5.92e-06,-7.59e-06,0.000263,-21.034
5.527e-06,-2.13e-05,0.000294,-1.38e-06,0.0003709,0.0002951,124774,1.361e-06,4.254e-05,0.0004935,2.706e-05,0.0001468,3.054e-05,1.717e-05,5.799e-05,0.0001274,2.345e-06,0,0.0007048,-1.54e-05,2.476e-05,5.654e-05,4.328e-05,4.74e-07,1.489e-07,7.562e-05,7.742e-05,0.0002188,-7.06e-06,0.0001993,0.0001589,-2.19e-05,5.65e-05,9.087e-05,0.0004765,0.0009513,1.612e-05,0.0006038,0.0002384,-6.23e-06,0.0001613,4.424e-05,7.867e-06,3.92e-05,2.723e-07,0.000258,3.424e-05,2.527e-05,-2.65e-05,9.92e-05,9.016e-05,0.0006989,-4.26e-06,-1.2e-05,1.83e-05,0.0001052,0.0001885,1.021e-05,0.0008535,0.0001931,1.262e-07,1.472e-05,0.0008053,1.364e-05,1.465e-07,4.553e-05,0.0002028,9.191e-05,3.447e-05,7.194e-05,2.823e-05,6.022e-05,0.0001612,0.000238,1.252e-05,0.0001184,0.0001584,0.0008841,0.0001899,-1.67e-05,7.007e-05,-9.76e-06,0.0005498,6.949e-06,-7.17e-06,0.0002308,-19.7
2.271e-05,-5.09e-06,0.0002107,1.582e-05,0.0003806,0.0003158,96031,5.223e-05,0.0001116,0.0004651,8.863e-05,0.0001575,4.748e-05,-3.33e-07,3.184e-05,0.0001269,-1.16e-05,0,0.0006615,2.667e-05,6.598e-06,6.942e-05,5.879e-05,6.847e-07,3.34e-07,5.792e-05,4.502e-05,0.0002354,1e-05,0.0002048,0.0002296,1.583e-05,0.0001262,0.0001642,0.0002924,0.0009658,7.408e-05,0.0004906,0.0001377,-1.68e-05,0.0001516,2.208e-05,6.204e-05,5.588e-05,2.745e-07,0.00032,1.391e-05,1.462e-05,-1.08e-05,0.0001064,9.354e-05,0.0004977,4.324e-05,4.829e-06,1.065e-05,7.946e-05,0.0001172,-6.43e-06,0.0008584,0.0002628,2.214e-07,3.137e-05,0.0007387,3.532e-05,3.11e-07,2.81e-05,0.0001255,5.436e-05,1.976e-05,8.093e-05,4.496e-05,4.631e-05,8.826e-05,0.0001491,7.124e-06,0.0001347,0.0001049,0.0007317,0.0001682,-8.62e-08,8.906e-05,3.508e-05,0.0005969,3.685e-06,-4.7e-06,0.0002817,-39.4
9.077e-06,-1.29e-05,0.0002487,4.529e-06,0.0002466,0.0001718,124315,-2.09e-05,-7.03e-06,0.0003996,-1.14e-05,6.666e-05,-1.49e-05,8.122e-06,4.967e-05,3.903e-05,-5.84e-06,0,0.00047,-3.07e-05,1.601e-05,-5.1e-06,-9.79e-06,3.575e-07,2.365e-07,8.615e-05,6.625e-05,9.597e-05,2.547e-07,0.0001665,1.364e-05,-3.52e-05,-3.85e-06,3.976e-06,0.0004798,0.0006917,-1.49e-05,0.0004753,0.0002595,-1.31e-05,5.476e-05,3.779e-05,-1.8e-05,2.61e-05,9.699e-07,2.511e-05,2.547e-05,3.251e-05,-1.9e-05,2.304e-05,6.667e-06,0.0006896,-2.39e-05,-3.91e-06,2.395e-05,0.0001111,0.000213,1.075e-06,0.0002381,1.804e-05,3.603e-07,1.431e-05,0.0006128,-2.13e-05,2.293e-07,5.51e-05,0.0001687,8.411e-05,4.192e-05,-9.6e-08,2.116e-05,7.358e-05,0.0001239,0.0001997,1.521e-05,5.468e-05,0.0001881,0.0006926,6.822e-05,-8.17e-06,3.917e-05,-2.71e-05,9.36e-05,7.546e-06,-9.09e-06,0.0001544,0.0
2.016e-05,-7.28e-06,0.0002079,1.291e-05,0.000376,0.0003182,53178,5.689e-05,0.0001155,0.0005013,9.487e-05,0.000174,5.577e-05,5.524e-06,3.35e-05,0.0001311,-3.99e-06,0,0.0006407,2.852e-05,1.13e-05,7.688e-05,6.621e-05,4.251e-07,2.539e-07,5.349e-05,4.473e-05,0.0002107,7.105e-06,0.000224,0.0002361,1.75e-05,0.000134,0.0001723,0.0003488,0.0008926,7.987e-05,0.0004837,0.00015,-8.96e-06,0.0001532,2.491e-05,6.727e-05,5.589e-05,2.058e-07,0.0003274,1.772e-05,1.685e-05,-1.25e-05,0.0001181,9.938e-05,0.0005455,4.649e-05,2.019e-06,1.204e-05,7.478e-05,0.0001215,5.859e-07,0.0008267,0.0002677,2.05e-07,3.01e-05,0.0007814,4.334e-05,4.073e-07,3.134e-05,0.0001159,5.381e-05,2.298e-05,8.755e-05,4.459e-05,4.382e-05,7.638e-05,0.0001477,7.869e-06,0.0001439,0.0001066,0.0007127,0.0001842,-2.64e-06,9.398e-05,3.823e-05,0.0005866,3.963e-06,-4.69e-06,0.00028,-36.116
