Row,y,PAamp,PBamp,PCamp,PDamp,PFamp,PAr10,PAr20,PAr30,PAr40,PAr50,PAr60,PAr70,PAr80,PAr90,PAr95,PAr100,PAf95,PAf90,PAf80,PAf40,PAf20,PBr10,PBr20,PBr30,PBr40,PBr50,PBr60,PBr70,PBr80,PBr90,PBr95,PBr100,PBf95,PBf90,PBf80,PBf40,PBf20,PCr10,PCr20,PCr30,PCr40,PCr50,PCr60,PCr70,PCr80,PCr90,PCr95,PCr100,PCf95,PCf90,PCf80,PCf40,PCf20,PDr10,PDr20,PDr30,PDr40,PDr50,PDr60,PDr70,PDr80,PDr90,PDr95,PDr100,PDf95,PDf90,PDf80,PDf40,PDf20,PFr10,PFr20,PFr30,PFr40,PFr50,PFr60,PFr70,PFr80,PFr90,PFr95,PFr100,PFf95,PFf90,PFf80,PFf40,PFf20
77574,-17.992,1.719E-07,1.831E-07,1.751E-07,3.027E-07,1.908E-07,-0.00000789,0,0.000006218,0.00001244,0.00001901,0.00002616,0.00003465,0.0000458,0.00006132,0.00007449,0.0001044,0.0001634,0.0001945,0.0002404,0.0004843,0.0007221,-0.00000685,0.000002719,0.0000105,0.00001801,0.00002649,0.00003543,0.00004659,0.00006018,0.00008137,0.00009745,0.0001356,0.0002185,0.0002557,0.0003177,0.0006254,0.0009345,0.00001139,0.00002541,0.00003887,0.00005106,0.00006404,0.00007703,0.00009423,0.0001116,0.0001401,0.0001631,0.0002356,0.0002879,0.0003214,0.0003867,0.0006997,0.0009854,-0.0000292,-0.0000241,-0.0000197,-0.0000153,-0.0000104,-0.00000457,0.000002595,0.00001214,0.00002702,0.0000398,0.00008129,0.0001304,0.0001604,0.0002219,0.0005382,0.0008726,-0.0000261,-0.0000198,-0.0000144,-0.00000929,-0.00000386,0.000002288,0.000009891,0.00002024,0.00003702,0.00005012,0.00008769,0.0001553,0.0001886,0.0002578,0.0005703,0.0008721
77581,-36.116,3.738E-07,2.313E-07,1.762E-07,3.454E-07,1.781E-07,-0.00000452,0,0.000003807,0.000007504,0.00001147,0.00001614,0.0000222,0.00003049,0.00004283,0.00005328,0.0000779,0.0001037,0.0001175,0.0001432,0.0003342,0.0005407,-0.0000097,-0.0000048,-9.23E-08,0.000004997,0.00001075,0.00001737,0.00002466,0.00003255,0.00004371,0.00005275,0.0000731,0.000106,0.0001265,0.0001917,0.0004691,0.000758,0.00004295,0.00005906,0.00006787,0.00007701,0.00008797,0.0001047,0.0001203,0.0001352,0.000168,0.000176,0.0002411,0.0002804,0.0003254,0.0003914,0.0006816,0.0009716,-0.00000997,-0.00000447,4.543E-07,0.000005399,0.00001062,0.00001659,0.00002368,0.00003345,0.00004729,0.00005871,0.0000931,0.0001443,0.0001673,0.000217,0.0004973,0.0008102,0.00002005,0.00003096,0.0000408,0.00005012,0.00005997,0.00007049,0.00008261,0.0000976,0.0001176,0.0001347,0.0001795,0.000236,0.000273,0.0003281,0.0006023,0.0009239
77591,-21.034,0.000000223,1.901E-07,1.846E-07,4.336E-07,2.483E-07,-0.00000676,0,0.000005731,0.00001144,0.00001745,0.00002405,0.0000315,0.00004012,0.00005476,0.00006613,0.0001111,0.0001491,0.0001816,0.0002243,0.0004588,0.000677,-0.00000746,5.296E-07,0.000007933,0.00001518,0.00002219,0.00003028,0.00003961,0.00005296,0.00007245,0.00008642,0.0001335,0.0001969,0.0002298,0.0002919,0.0005753,0.0008541,0.000008455,0.00002235,0.00003465,0.00004464,0.00005784,0.0000716,0.00008656,0.0001095,0.0001334,0.0001558,0.0002047,0.0002783,0.0003194,0.0003735,0.0006476,0.0009496,-0.0000329,-0.0000282,-0.0000242,-0.0000202,-0.0000158,-0.0000109,-0.00000485,0.000003275,0.00001593,0.00002668,0.00005838,0.0001027,0.0001276,0.0001734,0.0004312,0.0007057,-0.0000257,-0.0000199,-0.0000149,-0.00000992,-0.00000474,0.000001069,0.000008621,0.00001926,0.00003618,0.00005039,0.00008398,0.0001539,0.0001813,0.0002428,0.0005287,0.0007866
77595,-29.5,3.328E-07,2.806E-07,2.231E-07,8.383E-07,3.405E-07,-0.0000055,0,0.000004482,0.000008726,0.00001312,0.00001786,0.00002326,0.00003005,0.00004013,0.00004766,0.00007054,0.0001217,0.0001508,0.000202,0.0004311,0.0006404,-0.00000789,-0.0000014,0.000004056,0.000009287,0.00001477,0.0000208,0.000028,0.00003739,0.00005076,0.00006244,0.0001129,0.0001608,0.0001882,0.0002419,0.0004959,0.0007519,0.00003042,0.00004182,0.00005222,0.00006328,0.00007394,0.00008675,0.00009986,0.0001173,0.0001417,0.000157,0.0002297,0.0002761,0.0003107,0.0003708,0.0006328,0.0009176,-0.0000207,-0.0000167,-0.0000135,-0.0000106,-0.00000771,-0.00000469,-0.00000134,0.000002695,0.000008365,0.00001292,0.00002814,0.00006216,0.0000827,0.0001121,0.0002882,0.0005171,-0.00000294,0.000003495,0.000008815,0.00001404,0.00001956,0.00002563,0.00003294,0.0000439,0.0000637,0.00008022,0.0001289,0.0001813,0.0002078,0.0002609,0.0005083,0.0007691
77604,0,2.876E-07,2.907E-07,4.784E-07,4.384E-07,0.000001158,-0.000009,0,0.000008175,0.00001645,0.00002481,0.00003369,0.00004446,0.00005844,0.00007604,0.00009562,0.000144,0.00017,0.0001984,0.0002541,0.0004873,0.0007006,-0.0000141,-0.00000688,1.892E-07,0.000008791,0.00001824,0.0000283,0.00003875,0.00005141,0.00006898,0.00008245,0.000108,0.0001744,0.0002019,0.0002563,0.0004725,0.0006845,-0.0000235,-0.0000183,-0.0000136,-0.00000905,-0.00000441,0.000000643,0.000007879,0.00002577,0.00004403,0.00005414,0.00009446,0.0001344,0.0001698,0.000229,0.0004625,0.0006782,-0.0000177,-0.0000116,-0.00000678,-0.00000237,0.000001902,0.000006291,0.00001099,0.00001635,0.00002336,0.00002852,0.00004166,0.00005983,0.0001396,0.00018,0.000411,0.0006264,-0.0000353,-0.000031,-0.0000276,-0.0000246,-0.0000217,-0.0000188,-0.0000157,-0.0000122,-0.00000778,-0.00000445,0.000004068,0.00001541,0.00002103,0.00003097,0.0001099,0.0002757
77621,-36.116,4.314E-07,2.796E-07,0.000000232,4.835E-07,2.411E-07,-0.00000499,0,0.00000411,0.000008035,0.00001218,0.00001699,0.00002294,0.00003152,0.00004516,0.00005411,0.0000767,0.0001059,0.0001222,0.0001513,0.0003583,0.0005552,-0.0000085,-0.00000316,0.000001723,0.000006874,0.00001265,0.00001913,0.00002659,0.00003609,0.00004774,0.00005705,0.0000815,0.0001353,0.0001704,0.0002351,0.0005032,0.0007644,0.00004307,0.00005479,0.00006586,0.00007543,0.00008871,0.0001036,0.0001169,0.000138,0.0001623,0.0001787,0.0002367,0.0002837,0.0003161,0.000374,0.0006623,0.000937,-0.0000136,-0.00000824,-0.00000347,0.000001295,0.000006481,0.00001229,0.00001925,0.0000289,0.00004391,0.00005531,0.0000959,0.000146,0.0001758,0.0002291,0.0005074,0.0008003,0.00001483,0.00002563,0.00003456,0.00004374,0.00005353,0.00006317,0.00007532,0.0000928,0.0001122,0.0001283,0.0001687,0.0002328,0.0002649,0.0003197,0.0005885,0.0008647
77636,-9.988,2.975E-07,1.971E-07,0.000000269,4.893E-07,8.282E-07,-0.00000855,0,0.000006708,0.00001324,0.00001985,0.00002683,0.00003522,0.00004797,0.00006728,0.00008025,0.0001171,0.000173,0.0001938,0.0002519,0.0004846,0.0007067,-0.00000829,0.000000938,0.000008988,0.00001647,0.00002444,0.00003354,0.00004477,0.00006026,0.00008114,0.00009871,0.0001443,0.0002,0.0002287,0.0002874,0.0005311,0.0007829,-0.00000668,0.000002302,0.000009523,0.00001827,0.00002803,0.0000408,0.00005206,0.00006757,0.00009492,0.0001117,0.0001611,0.0002132,0.0002441,0.000311,0.0005475,0.0007884,-0.0000215,-0.0000166,-0.0000127,-0.00000911,-0.00000546,-0.0000015,0.000003142,0.000009137,0.00001827,0.00002646,0.00005238,0.00009336,0.0001148,0.0001559,0.0003813,0.0006009,-0.0000329,-0.000029,-0.0000259,-0.0000231,-0.0000203,-0.0000173,-0.000014,-0.00001,-0.00000434,2.987E-07,0.00001638,0.00005976,0.00007823,0.0001071,0.0002744,0.0004878
77643,-21.034,2.829E-07,2.598E-07,0.000000259,5.658E-07,3.429E-07,-0.00000699,0,0.000006047,0.0000119,0.00001777,0.00002434,0.00003186,0.00004139,0.00005694,0.00006875,0.0001058,0.0001591,0.0001832,0.0002339,0.0004635,0.0006993,-0.00000743,8.545E-07,0.000007925,0.00001499,0.00002251,0.00003072,0.00004153,0.00005458,0.00007213,0.00008718,0.0001378,0.0001969,0.0002372,0.0003014,0.000581,0.0008485,0.000007465,0.00002167,0.00003263,0.00004513,0.00005856,0.00007157,0.00008703,0.0001073,0.0001301,0.0001509,0.000193,0.0002818,0.0003094,0.000377,0.0006839,0.000946,-0.0000334,-0.0000287,-0.0000247,-0.0000207,-0.0000165,-0.0000117,-0.00000577,0.000002313,0.00001565,0.00002673,0.00006103,0.0001105,0.0001363,0.0001864,0.0004496,0.0007312,-0.0000282,-0.0000225,-0.0000175,-0.0000127,-0.0000075,-0.00000162,0.000005667,0.00001549,0.00003171,0.00004544,0.00009063,0.0001501,0.000181,0.0002427,0.0005297,0.0008128
77666,-41.9,3.955E-07,4.079E-07,1.656E-07,3.039E-07,0.00000019,-0.00000405,0,0.000003425,0.00000674,0.00001024,0.00001427,0.00001932,0.00002638,0.00003824,0.00004743,0.00007032,0.00009701,0.0001091,0.0001286,0.0002836,0.0004949,-0.00000737,-0.00000284,0.000001281,0.000005655,0.00001055,0.00001619,0.0000231,0.00003165,0.0000423,0.000051,0.00006952,0.0001154,0.0001389,0.0001905,0.0004426,0.0006788,0.00004504,0.00005494,0.00006736,0.00007581,0.0000882,0.0001005,0.0001136,0.0001332,0.0001542,0.0001685,0.0002215,0.0002745,0.0003276,0.0003805,0.0006701,0.0009199,0.000001563,0.000007316,0.00001195,0.00001633,0.00002092,0.00002602,0.00003194,0.00003923,0.00004956,0.00005836,0.00008552,0.000123,0.0001433,0.0001826,0.000424,0.000672,0.00002906,0.00003903,0.00004752,0.00005684,0.00006596,0.00007502,0.00008569,0.000101,0.0001211,0.0001344,0.0001743,0.0002369,0.0002782,0.0003228,0.0005855,0.0008346
77667,-9.988,3.132E-07,0.000000235,3.078E-07,5.809E-07,9.261E-07,-0.00000758,0,0.000006508,0.00001267,0.00001922,0.0000263,0.00003475,0.00004669,0.00006191,0.0000741,0.0001037,0.0001721,0.0001997,0.00025,0.0004655,0.0006628,-0.00000769,0.000001435,0.000008135,0.00001499,0.0000228,0.00003156,0.00004125,0.00005537,0.00007447,0.0000888,0.0001389,0.0001902,0.0002203,0.0002743,0.0004937,0.0006925,-0.00000718,0.000002103,0.0000117,0.00002236,0.00003072,0.00004007,0.00005271,0.00007012,0.00009442,0.0001131,0.0001501,0.0002156,0.0002396,0.000296,0.0005358,0.00075,-0.0000226,-0.0000181,-0.0000145,-0.0000113,-0.00000828,-0.00000509,-0.00000158,0.000002613,0.000008495,0.00001321,0.00002779,0.00006712,0.00008974,0.0001273,0.0003413,0.0005381,-0.0000336,-0.0000299,-0.0000269,-0.0000242,-0.0000215,-0.0000186,-0.0000154,-0.0000116,-0.00000632,-0.00000223,0.00001099,0.00004253,0.00006346,0.00009093,0.0002385,0.0004287
