Row,PBstart,PCstart,PDstart,PFstart,PArise,PBrise,PCrise,PDrise,PFrise,PAfall,PBfall,PCfall,PDfall,PFfall,PAwidth,PBwidth,PCwidth,PDwidth,PFwidth,y
1039,-2.214185047231187e-06,5.653310131260664e-05,3.665858499248905e-06,4.255914597700445e-05,1.2301642573922948e-05,1.9292389307318886e-05,3.470343350834436e-05,1.6199358728258218e-05,2.818024440971598e-05,0.000718527853748484,0.0009361556413166697,0.0007192896201763448,0.000804705047195378,0.0008828942521183048,0.00011989363750402487,0.00016718574427901107,0.00020692890810024249,0.00017356550006768548,0.0002679021831153087,-41.01
1063,3.878254717220538e-06,3.451518338174801e-05,-2.112008748348855e-05,-1.2003233965463634e-05,1.7038480178283567e-05,2.3657936185093827e-05,4.030933282032738e-05,1.641991345824253e-05,2.5333457475433884e-05,0.0006797954597242491,0.0008206829648782644,0.0008960945127312445,0.0007668857170537562,0.0009201709716380313,0.0002196006699003119,0.0002420757085636111,0.0001800891504051132,0.00013871410685670945,0.00022424729194104074,-24.077
1091,-2.4484076109848287e-06,6.578539764186642e-05,1.0916659238501064e-05,4.388335830779815e-05,1.4002054747574922e-05,1.631009311533869e-05,1.476489841575906e-05,1.9782287515615484e-05,3.0610246430216185e-05,0.0004720401545803464,0.0009698741943629533,0.0008077382220168668,0.0005924172117467228,0.000981870351691558,0.00011706078354534934,0.00010866236329349095,0.00020167405304024564,0.00017412678910778647,0.00013414007651545742,-41.01
1128,6.509597078249854e-06,4.0598401433354385e-05,-1.7039736208254337e-05,9.626656823144734e-06,1.7878994614696363e-05,1.3683404269463023e-05,3.20485049103838e-05,9.59211455363402e-06,2.2104379248108426e-05,0.0007282147155195678,0.0005716359263111677,0.0013491975315016776,0.00048754006890288276,0.0006488765562804591,0.00013322384930681243,0.000145835244900521,0.00016051262556371527,0.00012066845435020979,0.00018267785175080022,-29.5
1144,-1.0750890369545316e-05,4.304101453668556e-05,-1.0141273137172534e-05,2.0192613127957353e-05,1.2351433307792112e-05,1.540971966374077e-05,3.8133175030953255e-05,1.4670264092272753e-05,2.7954608509963735e-05,0.000647732500381735,0.0009492953414674923,0.0013413963652824186,0.000678944339790339,0.0010702101238874884,0.00012073679926819413,0.0001358260329376403,0.00024017823965391462,0.00016697757856436635,0.00019347074642975248,-39.4
1164,1.0966629582148301e-06,3.10980426786629e-05,-2.606289680541954e-05,-2.164343189791851e-05,1.8764121572289137e-05,3.0195762833832697e-05,2.4920945211523768e-05,1.127864620458996e-05,1.5382355702809593e-05,0.0007100665988191155,0.0008979167014723359,0.0015657708547068528,0.0005736511273784595,0.0008239866655313523,0.00020063265336654418,0.0002133747179865624,0.00032502850980106556,0.00013580038935032064,0.00017543755671494988,-21.034
1172,-1.4569184483838935e-06,2.7189724537178067e-05,-2.5071550047399234e-05,-1.4651699800777689e-05,1.5128987854086727e-05,2.328873123078443e-05,3.2617360142760655e-05,1.2269693242798531e-05,1.6368301830939718e-05,0.0007323551715509884,0.0006659808328363784,0.0010253904183630347,0.0007398943042962067,0.0010086860351479988,0.00017929230904334788,0.00022101391780229705,0.00025175593352089637,0.0001558598643342416,0.00015868184879449856,-21.034
1186,-3.629065487854914e-06,1.078460984884087e-06,-1.8193283421503165e-05,-3.212892815455484e-05,1.4430593609711266e-05,1.9461237926753585e-05,2.3264037232868975e-05,9.756312620164815e-06,9.013158178924267e-06,0.0005317914723600675,0.0012321315398822412,0.0005891453239146364,0.0005206650349517062,0.00034370320363421333,0.0001920381444771033,0.00021286909006157367,0.00014822876540620595,5.873872869583769e-05,7.269769387405489e-05,-9.988
1195,-1.5653629859324996e-06,4.148361553633656e-05,-2.0628149051994014e-05,-7.988104770176315e-06,1.6221423352738526e-05,2.1196778687903273e-05,4.66701772576116e-05,1.5755444762806426e-05,3.250584028256215e-05,0.0011040325105781733,0.000662006829748149,0.0007034956226128582,0.001002599323623758,0.0006089119153775446,0.00018988740009901153,0.00017093612955074267,0.0001293101306954438,0.00020796530693364707,0.00012633017098917667,-24.077
1195,7.842527468840745e-06,9.538150360860086e-06,-1.7058868684484817e-05,-2.895395114729198e-05,2.591665261354438e-05,2.6779429008014608e-05,3.574301623725032e-05,1.630708906072763e-05,1.4874516889796725e-05,0.0014744591964753692,0.00143193031741653,0.0009406677264037215,0.000888763208243971,0.0007109466895628627,0.0001177900186935511,0.00025706911214179993,0.0002454219053837613,0.0002217026547381491,0.000103330854923202,-12.502
