Row,PBstart,PCstart,PDstart,PFstart,PArise,PBrise,PCrise,PDrise,PFrise,PAfall,PBfall,PCfall,PDfall,PFfall,PAwidth,PBwidth,PCwidth,PDwidth,PFwidth,y
1039,-1.4731608442118586e-06,5.568000929438938e-05,4.407700953796241e-06,3.201739555525529e-05,1.279378625946398e-05,2.0487915807484076e-05,3.420405607197286e-05,1.753019702171521e-05,2.522422690875226e-05,0.0006435143378045052,0.00125265885198624,0.0006183366005089288,0.0008812518519117485,0.0006969582921544202,0.00012628887852196314,0.00015163231992387397,0.00017129913956089485,0.00019018304177313998,0.0002462764477097548,-41.01
1063,3.8058937339803283e-06,2.3150875904725487e-05,-2.270854476639111e-05,-1.3329197043162249e-05,1.6897476124226238e-05,2.6091908390557383e-05,3.676394622571916e-05,1.3368457084035904e-05,1.791662793062561e-05,0.0007448680015982956,0.0007149287855920931,0.0007262318986810372,0.0008701149600910159,0.0008379565732062587,0.00019551721279615698,0.0002361808152173949,0.0002183180114577522,0.0002161507336731643,0.00024963019557862034,-24.077
1091,-4.5636842117577553e-07,6.436042612630465e-05,8.504971223388165e-06,3.850815080720356e-05,1.3174670693169708e-05,1.872575379741107e-05,3.016643930342073e-05,1.8864845056947657e-05,2.5206722512180783e-05,0.00045845662104703383,0.0006080992543659516,0.0016940877216754687,0.001120431383585745,0.001268940345260396,0.00013009392458214844,0.00011494164001698858,0.00021921679715566642,0.00016762444860813448,0.00021953230636345312,-41.01
1128,3.210243310316437e-07,4.77230281729707e-05,-2.1345640877667056e-05,8.933750855265698e-07,1.785552629967936e-05,1.9100945099657843e-05,3.8213997694045674e-05,9.719674179827168e-06,1.876449276538381e-05,0.00044780065856377604,0.0006345791982104961,0.0006757117641324389,0.0005835753878382698,0.001000744988845798,0.00010116020887685475,0.00012542492801387577,0.0001954248496035791,0.0001050143903810577,0.00024817820550201714,-29.5
1144,-1.0388518154574995e-05,4.397164968258164e-05,-8.379708019557365e-06,2.170298328874078e-05,1.168815961387917e-05,1.8048893940461498e-05,3.544998438335917e-05,1.536174097662993e-05,2.8579227337481612e-05,0.0004299904458309227,0.0010022924216630577,0.0006594520741636543,0.0007558163134259764,0.0010292777153101816,9.672652815875617e-05,0.00020352995438901547,0.0002471185954209461,0.00018454632413820128,0.00023553786031300022,-39.4
1164,1.1467632656293699e-06,3.558201575749536e-05,-2.1347662830135302e-05,-1.4125856765710154e-05,2.0565244184253584e-05,2.38948105020548e-05,3.694455446978928e-05,1.140322085031642e-05,1.3412177060360627e-05,0.0008716332700813049,0.0017759183750188888,0.0006995417694788345,0.0006208504669712573,0.0006679573072021893,0.00019506566513490876,0.0002675782603262874,0.00024314949327403705,0.000144249836658694,0.00015734219417119167,-21.034
1172,7.029963868743395e-06,2.6974054450573197e-05,-2.562312461622786e-05,-1.7291813114697428e-05,2.1431949230664135e-05,2.086397243821193e-05,3.5999355803293944e-05,1.2305206154399705e-05,1.5435438439072375e-05,0.0007317503063514729,0.0009414346682708163,0.0008764760421830821,0.0009617580136603548,0.0006286645321128819,0.00014065208492403437,0.0002561829723287904,0.0002446106722798244,0.0001726571801869039,0.00019212706223443543,-21.034
1186,-7.373771430758075e-07,4.4243420804874695e-06,-1.5639512660489026e-05,-2.9393196373770717e-05,1.9156990830927828e-05,3.058227794072388e-05,2.90597162579514e-05,1.0782792345927357e-05,8.776362569776894e-06,0.0005136325502184255,0.0005767746239123524,0.0007594071642415944,0.0005693416651523603,0.00038962473557464707,0.00020748894951984443,0.00015480684860497563,0.00016165233800235986,5.263782863306254e-05,6.742863207004246e-05,-9.988
1195,1.6429093867119066e-06,3.948091188350553e-05,-2.1650377278912675e-05,2.228908073695913e-06,1.8431136470314792e-05,2.3906422843887784e-05,2.266834059910312e-05,1.455228718895563e-05,2.493086884163576e-05,0.0005360879232729589,0.000777849456052876,0.0010450543600930378,0.0007381967943542193,0.0007922163354233507,0.00015409820532785804,0.00019438030094071166,0.00022044851013239617,0.00017730288342664646,0.00024255732771359976,-24.077
1195,6.556641811607061e-06,1.273887473947925e-05,-1.5877911251151756e-05,-2.9527072891266052e-05,2.727697807960697e-05,2.485679935742007e-05,3.1450304019331904e-05,1.7114083739282638e-05,1.1979305988669395e-05,0.0010758535115079084,0.001241653243220231,0.0017769055491335397,0.0009734159221714879,0.0011657101666606388,0.0002010671778786391,0.00029383668048933004,0.00023844997976888165,0.00022305815870020678,0.00017467222721924034,-12.502
